	ethnicity	MX00384	MX00028	MX00395	MX00398	MX00402
V3_7.txt	viet	6.725069984	7.407603155	6.152421059	6.361764655	0
V3_8.txt	viet	7.280602383	7.800157199	7.287652477	7.045086243	6.813222865
V3_9.txt	viet	7.377687057	7.858423749	7.624347782	7.361904124	7.691010717
V4_10.txt	viet	7.448088564	7.541415953	6.897480341	7.14026616	7.214360745
V4_2.txt	viet	7.554726776	6.657172159	7.001734189	6.679402638	6.596851001
V4_3.txt	viet	6.663560534	0	7.451777918	7.033900574	0
V4_4.txt	viet	6.58428078	0	0	7.037064169	7.141562675
V4_5.txt	viet	6.466887482	7.172695588	0	6.953992767	7.15683919
V4_6.txt	viet	6.673724245	7.097309658	7.08280005	7.305345844	7.482635414
V4_7.txt	viet	7.010077833	7.009603977	7.125766473	7.396550635	7.849632301
V4_8.txt	viet	7.412921797	7.26300867	7.449130469	7.673169869	7.441308276
V4_9.txt	viet	7.003698381	7.045606	7.448887712	7.358985026	7.6006275
V5_1.txt	viet	7.029001268	6.19329856	6.079981781	7.060077149	0
V5_10.txt	viet	7.389872435	7.007564721	7.215754989	7.008599916	6.741933492
